STATION,NAME,LATITUDE,LONGITUDE,Month,TAVG,TMAX,TMIN,PRCP,DT32,DP01,DP10,DSND,DSNW,Season
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,1,,,,3.795,,24.0,13.0,1.5,0.5,Winter
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,2,,,,2.62,,19.0,7.5,0.5,0.5,Winter
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,3,,,,2.4450000000000003,,19.0,7.5,0.0,0.0,Spring
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,4,,,,2.495,,18.0,9.5,0.0,0.0,Spring
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,5,,,,2.065,,12.0,4.5,0.0,0.0,Spring
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,6,,,,2.86,,14.0,8.0,,0.0,Summer
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,7,,,,0.3,,4.0,1.0,,0.0,Summer
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,8,,,,2.83,,6.0,5.0,,0.0,Summer
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,9,,,,1.285,,11.5,4.5,,0.0,Autumn
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,10,,,,1.94,,18.0,7.0,0.0,0.0,Autumn
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,11,,,,3.925,,20.0,10.5,,0.0,Autumn
US1WAIS0040,"FREELAND 1.2 ESE, WA US",48.005686,-122.514642,12,,,,4.529999999999999,,23.5,14.0,0.0,0.0,Winter
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,1,,,,4.4,,24.0,11.0,,,Winter
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,2,,,,3.1500000000000004,,19.0,10.0,,,Winter
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,3,,,,3.2800000000000002,,16.5,9.0,,,Spring
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,4,,,,3.6,,20.0,14.0,,,Spring
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,5,,,,2.4299999999999997,,14.5,5.0,,,Spring
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,6,,,,1.925,,10.5,4.0,,,Summer
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,7,,,,0.27,,4.0,1.0,,0.0,Summer
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,8,,,,1.8,,6.0,3.5,,,Summer
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,9,,,,1.07,,9.0,3.0,,,Autumn
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,10,,,,2.54,,16.0,7.5,,,Autumn
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,11,,,,4.59,,,,,,Autumn
US1WAIS0044,"LANGLEY 0.8 S, WA US",48.02582,-122.40772,12,,,,5.31,,25.0,17.0,,,Winter
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,3,,,,2.85,,,,,,Spring
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,4,,,,2.11,,,,,,Spring
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,5,,,,2.8,,13.0,6.0,,,Spring
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,7,,,,0.45,,5.0,2.0,,,Summer
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,8,,,,2.69,,7.0,5.0,,,Summer
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,9,,,,1.05,,,,,,Autumn
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,10,,,,2.61,,16.0,10.0,,,Autumn
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,11,,,,5.13,,,,,,Autumn
US1WAIS0056,"CLINTON 1.8 SSW, WA US",47.95716,-122.3793,12,,,,5.66,,26.0,11.0,,,Winter
US1WAJF0014,"BRINNON 1.7 WSW, WA US",47.66677,-122.92866,1,,,,7.595,,23.0,11.0,,,Winter
US1WAJF0014,"BRINNON 1.7 WSW, WA US",47.66677,-122.92866,2,,,,4.635,,20.5,8.5,,,Winter
